,id,timestamp,hour,day,month,datetime,timezone,source,destination,cab_type,product_id,name,price,distance,surge_multiplier,latitude,longitude,temperature,apparentTemperature,short_summary,long_summary,precipIntensity,precipProbability,humidity,windSpeed,windGust,windGustTime,visibility,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,icon,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,ozone,sunriseTime,sunsetTime,moonPhase,precipIntensityMax,uvIndexTime,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
444,d8b323e5-ee77-4c3b-a7ab-f17ce64c8826,1544889613.0,16.0,15.0,12.0,12/15/18 16:00,America/New_York,North Station,Northeastern University,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,10.5,3.37,1.0,42.3647,-71.0542,51.84,51.84, Partly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.8,3.58,5.3,1544918400.0,9.961,54.4,1544896800.0,39.22,1544954400.0,53.73,1544896800.0,35.32,1544954400.0, partly-cloudy-day ,45.71,1021.39,262.0,0.48,1.0,9.961,299.5,1544875679.0,1544908424.0,0.27,0.0075,1544893200.0,39.78,1544929200.0,54.4,1544896800.0,36.64,1544929200.0,53.73,1544896800.0
445,a56e7ee4-7745-4388-b4b4-d1aca60467d2,1545018003.0,3.0,17.0,12.0,12/17/18 03:40,America/New_York,Boston University,Theatre District,Lyft,lyft_line,Shared,7.0,2.96,1.0,42.3503,-71.081,40.45,34.66, Light Rain , Rain throughout the day. ,0.0591,1.0,0.91,8.96,15.7,1545015600.0,2.994,43.73,1544990400.0,34.24,1545044400.0,38.39,1544986800.0,28.43,1545044400.0, rain ,37.95,1009.25,47.0,1.0,0.0,2.994,324.4,1544962123.0,1544994849.0,0.3,0.1254,1544979600.0,38.94,1544954400.0,43.73,1544990400.0,33.99,1545019200.0,38.39,1544986800.0
446,c5b3e123-0352-4586-8b28-8e552f79b518,1544692212.0,9.0,13.0,12.0,12/13/18 09:10,America/New_York,North End,North Station,Lyft,lyft,Lyft,7.0,1.11,1.0,42.3519,-71.0551,20.23,15.44, Clear , Partly cloudy throughout the day. ,0.0,0.0,0.66,3.34,3.34,1544738400.0,9.706,34.02,1544731200.0,27.18,1544781600.0,33.04,1544734800.0,24.51,1544785200.0, clear-night ,10.79,1030.65,350.0,0.08,0.0,9.706,327.1,1544702789.0,1544735602.0,0.21,0.0001,1544716800.0,18.19,1544688000.0,34.02,1544731200.0,13.67,1544688000.0,33.04,1544734800.0
447,0898a71d-2d5d-41aa-8d6b-c809fa8d7621,1543454228.0,1.0,29.0,11.0,11/29/18 01:17,America/New_York,West End,North End,Uber,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,13.5,1.91,1.0,42.3647,-71.0542,38.42,32.45, Mostly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.72,8.41,11.54,1543431600.0,9.915,42.61,1543438800.0,37.6,1543489200.0,36.57,1543438800.0,32.12,1543478400.0, partly-cloudy-night ,30.3,996.92,297.0,0.77,0.0,9.915,349.9,1543405936.0,1543439716.0,0.72,0.0,1543420800.0,33.85,1543399200.0,42.61,1543438800.0,30.03,1543399200.0,36.57,1543438800.0
449,6088c6c4-7181-4b23-9835-50a083d5151a,1543336222.0,16.0,27.0,11.0,11/27/18 16:30,America/New_York,West End,South Station,Lyft,lyft_luxsuv,Lux Black XL,30.0,2.1,1.0,42.3429,-71.1003,41.0,34.42, Overcast , Light rain in the morning. ,0.0,0.0,0.83,11.16,17.48,1543338000.0,9.285,46.24,1543320000.0,33.6,1543399200.0,43.32,1543320000.0,30.08,1543399200.0, cloudy ,36.27,989.5,258.0,1.0,1.0,9.285,333.5,1543319476.0,1543353358.0,0.68,0.143,1543338000.0,35.84,1543377600.0,46.24,1543320000.0,31.95,1543377600.0,43.32,1543320000.0
450,355b2fb8-aed2-49da-aeeb-5163aaadd322,1544787613.0,11.0,14.0,12.0,12/14/18 11:40,America/New_York,Haymarket Square,Theatre District,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,27.5,1.18,1.0,42.3559,-71.055,27.83,27.83, Partly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.8,2.9,4.06,1544846400.0,9.666,46.63,1544814000.0,40.78,1544832000.0,43.84,1544817600.0,38.59,1544835600.0, partly-cloudy-night ,22.45,1034.02,194.0,0.29,0.0,9.666,293.1,1544789234.0,1544822012.0,0.24,0.0,1544806800.0,27.21,1544781600.0,46.63,1544814000.0,24.55,1544785200.0,43.84,1544817600.0
451,15bc83c1-846b-422f-a751-b46856387da8,1544999409.0,22.0,16.0,12.0,12/16/18 22:30,America/New_York,Financial District,Fenway,Lyft,lyft_premier,Lux,26.0,4.48,1.0,42.3503,-71.081,42.38,37.47, Possible Drizzle , Rain throughout the day. ,0.0016,0.47,0.77,8.02,9.4,1545015600.0,7.742,43.73,1544990400.0,34.24,1545044400.0,38.39,1544986800.0,28.43,1545044400.0, rain ,35.83,1013.45,60.0,0.96,0.0,7.742,322.8,1544962123.0,1544994849.0,0.3,0.1254,1544979600.0,38.94,1544954400.0,43.73,1544990400.0,33.99,1545019200.0,38.39,1544986800.0
453,1b1bb253-5431-4dfd-91c5-1dab3db5dad9,1543467292.0,4.0,29.0,11.0,11/29/18 04:54,America/New_York,Back Bay,North End,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,25.0,2.33,1.0,42.3519,-71.0551,38.18,32.09, Mostly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.7,8.52,9.67,1543431600.0,10.0,42.6,1543438800.0,37.33,1543489200.0,36.56,1543435200.0,31.82,1543478400.0, partly-cloudy-night ,29.13,998.75,303.0,0.59,0.0,10.0,346.7,1543405934.0,1543439719.0,0.72,0.0,1543420800.0,33.7,1543399200.0,42.6,1543438800.0,29.88,1543399200.0,36.56,1543435200.0
454,d2c10a64-bb64-4297-82ee-545b888bec1b,1544692805.0,9.0,13.0,12.0,12/13/18 09:20,America/New_York,North End,Theatre District,Lyft,lyft_premier,Lux,16.5,1.54,1.0,42.3519,-71.0551,20.23,15.44, Clear , Partly cloudy throughout the day. ,0.0,0.0,0.66,3.34,3.34,1544738400.0,9.706,34.02,1544731200.0,27.18,1544781600.0,33.04,1544734800.0,24.51,1544785200.0, clear-night ,10.79,1030.65,350.0,0.08,0.0,9.706,327.1,1544702789.0,1544735602.0,0.21,0.0001,1544716800.0,18.19,1544688000.0,34.02,1544731200.0,13.67,1544688000.0,33.04,1544734800.0
455,f889d4bd-a3d4-48f9-9a42-a1bc7945a24e,1543690384.0,18.0,1.0,12.0,12/1/18 18:53,America/New_York,Financial District,Northeastern University,Uber,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,17.5,3.3,1.0,42.3647,-71.0542,43.64,43.64, Partly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.54,2.73,3.36,1543672800.0,9.88,44.66,1543690800.0,35.04,1543712400.0,43.99,1543690800.0,35.69,1543712400.0, partly-cloudy-day ,27.9,1022.86,303.0,0.3,1.0,9.88,274.8,1543665331.0,1543698851.0,0.82,0.0,1543683600.0,31.71,1543658400.0,44.66,1543690800.0,28.06,1543658400.0,43.99,1543690800.0
456,de444df7-ccec-4012-9401-14e85ed372dc,1544708711.0,13.0,13.0,12.0,12/13/18 13:45,America/New_York,North Station,Haymarket Square,Lyft,lyft_line,Shared,3.5,0.75,1.0,42.3519,-71.0643,22.18,17.69, Partly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.64,3.32,3.54,1544738400.0,9.428,33.92,1544731200.0,27.05,1544781600.0,32.95,1544734800.0,24.47,1544785200.0, partly-cloudy-day ,11.78,1033.56,335.0,0.27,0.0,9.428,328.4,1544702792.0,1544735604.0,0.21,0.0001,1544716800.0,18.05,1544688000.0,33.92,1544731200.0,13.6,1544688000.0,32.95,1544734800.0
457,1ea1758b-bed3-4c64-8c35-d393109a6e5e,1543795087.0,23.0,2.0,12.0,12/2/18 23:58,America/New_York,Beacon Hill,Haymarket Square,Lyft,lyft_line,Shared,5.0,1.39,1.0,42.3588,-71.0707,48.83,48.83, Overcast , Light rain until evening. ,0.0,0.0,0.96,2.83,2.98,1543755600.0,7.79,50.73,1543788000.0,44.99,1543816800.0,50.06,1543788000.0,45.64,1543816800.0, cloudy ,47.81,1002.81,275.0,1.0,0.0,7.79,287.3,1543751797.0,1543785238.0,0.86,0.0904,1543770000.0,36.45,1543726800.0,50.73,1543788000.0,35.85,1543748400.0,50.06,1543788000.0
458,d27bc1b0-0228-47fd-baa0-60f1b3e524d5,1543842782.0,13.0,3.0,12.0,12/3/18 13:13,America/New_York,West End,Fenway,Lyft,lyft,Lyft,10.5,2.93,1.0,42.3505,-71.1054,49.34,47.96, Overcast , Foggy in the morning. ,0.0,0.0,0.92,4.2,5.84,1543856400.0,7.188,56.89,1543852800.0,33.73,1543921200.0,56.22,1543852800.0,28.72,1543914000.0, cloudy ,47.06,999.95,217.0,0.91,0.0,7.188,301.8,1543838265.0,1543871633.0,0.89,0.0004,1543852800.0,43.1,1543896000.0,56.89,1543852800.0,40.05,1543896000.0,56.22,1543852800.0
459,5e1ba2b7-aeac-4108-8686-1acd2336a72a,1543552980.0,4.0,30.0,11.0,11/30/18 04:43,America/New_York,South Station,West End,Uber,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,7.0,1.69,1.0,42.2148,-71.033,34.38,29.63, Clear , Partly cloudy throughout the day. ,0.0,0.0,0.73,5.28,5.28,1543514400.0,10.0,45.03,1543510800.0,28.9,1543579200.0,38.53,1543510800.0,26.2,1543575600.0, clear-night ,26.64,1013.73,310.0,0.0,0.0,10.0,291.1,1543492370.0,1543526114.0,0.75,0.0,1543507200.0,34.67,1543550400.0,45.03,1543510800.0,30.3,1543550400.0,38.53,1543510800.0
460,911377d4-9553-44b0-878c-a5ddf28a8d14,1544891410.0,16.0,15.0,12.0,12/15/18 16:30,America/New_York,Northeastern University,North Station,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,11.0,3.22,1.0,42.3647,-71.0542,51.84,51.84, Partly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.8,3.58,5.3,1544918400.0,9.961,54.4,1544896800.0,39.22,1544954400.0,53.73,1544896800.0,35.32,1544954400.0, partly-cloudy-day ,45.71,1021.39,262.0,0.48,1.0,9.961,299.5,1544875679.0,1544908424.0,0.27,0.0075,1544893200.0,39.78,1544929200.0,54.4,1544896800.0,36.64,1544929200.0,53.73,1544896800.0
461,4179bf97-f248-4665-9371-6089c3fd3a66,1543698182.0,21.0,1.0,12.0,12/1/18 21:03,America/New_York,Northeastern University,Back Bay,Uber,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,6.5,1.62,1.0,42.2148,-71.033,40.2,38.55, Mostly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.65,3.03,3.03,1543672800.0,9.454,44.11,1543690800.0,34.58,1543712400.0,43.44,1543690800.0,35.23,1543712400.0, partly-cloudy-night ,29.53,1023.13,99.0,0.54,0.0,9.454,271.9,1543665299.0,1543698873.0,0.82,0.0,1543683600.0,30.17,1543662000.0,44.11,1543690800.0,25.87,1543662000.0,43.44,1543690800.0
462,b6867a9f-462c-4622-b9b9-acf5ff95d6d3,1543538576.0,0.0,30.0,11.0,11/30/18 00:42,America/New_York,North Station,Fenway,Uber,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,10.0,3.05,1.0,42.3398,-71.0892,38.6,32.72, Clear , Partly cloudy throughout the day. ,0.0,0.0,0.62,8.3,11.14,1543514400.0,9.933,45.12,1543510800.0,28.54,1543579200.0,39.02,1543510800.0,29.03,1543557600.0, clear-night ,26.77,1010.96,319.0,0.12,0.0,9.933,299.7,1543492406.0,1543526105.0,0.75,0.0,1543510800.0,34.84,1543550400.0,45.12,1543510800.0,30.8,1543550400.0,39.02,1543510800.0
464,f66738b7-d1ac-429b-85c1-c59793576b78,1545111008.0,5.0,18.0,12.0,12/18/18 05:30,America/New_York,Theatre District,South Station,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,7.0,0.55,1.0,42.3519,-71.0643,36.27,29.5, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.66,9.02,15.15,1545127200.0,7.357,32.91,1545159600.0,20.9,1545220800.0,22.87,1545159600.0,14.27,1545195600.0, cloudy ,26.11,1000.4,300.0,1.0,0.0,7.357,364.1,1545134994.0,1545167683.0,0.37,0.0029,1545152400.0,23.05,1545192000.0,37.96,1545109200.0,11.83,1545134400.0,31.85,1545109200.0
465,046e14bf-f9cd-4c8c-b87b-3b86f282cc63,1543317143.0,11.0,27.0,11.0,11/27/18 11:12,America/New_York,Fenway,Beacon Hill,Lyft,lyft_line,Shared,5.0,2.44,1.0,42.3647,-71.0542,46.23,43.49, Light Rain , Light rain in the morning. ,0.0488,1.0,0.92,5.47,5.47,1543338000.0,3.564,47.11,1543320000.0,33.85,1543399200.0,44.14,1543320000.0,30.03,1543399200.0, rain ,44.14,988.85,122.0,1.0,0.0,3.564,305.5,1543319468.0,1543353343.0,0.68,0.143,1543338000.0,36.34,1543377600.0,47.11,1543320000.0,32.26,1543377600.0,44.14,1543320000.0
466,329a8db1-37c6-40e0-a7bd-4ea2ea78c53f,1543837079.0,11.0,3.0,12.0,12/3/18 11:37,America/New_York,Back Bay,South Station,Lyft,lyft_plus,Lyft XL,13.5,1.39,1.0,42.3644,-71.0661,47.87,47.87, Overcast , Foggy in the morning. ,0.0,0.0,0.93,2.77,4.54,1543856400.0,2.069,57.08,1543852800.0,33.68,1543921200.0,56.41,1543852800.0,28.12,1543914000.0, cloudy ,46.01,1000.3,250.0,1.0,0.0,2.069,300.5,1543838258.0,1543871621.0,0.89,0.0004,1543852800.0,42.86,1543896000.0,57.08,1543852800.0,39.54,1543896000.0,56.41,1543852800.0
467,caae47cc-631b-4178-94ed-bbdea44beb90,1544767206.0,6.0,14.0,12.0,12/14/18 06:00,America/New_York,Financial District,Northeastern University,Uber,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,9.0,2.44,1.0,42.3647,-71.0542,29.63,29.63, Mostly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.74,1.1,2.49,1544846400.0,9.716,46.51,1544814000.0,40.83,1544832000.0,43.74,1544817600.0,38.65,1544835600.0, partly-cloudy-night ,22.41,1035.55,212.0,0.77,0.0,9.716,299.1,1544789236.0,1544822010.0,0.24,0.0,1544806800.0,27.27,1544781600.0,46.51,1544814000.0,24.61,1544785200.0,43.74,1544817600.0
468,6f65f2ec-aed3-4a94-bef8-72b0f749b6fa,1543425428.0,17.0,28.0,11.0,11/28/18 17:17,America/New_York,South Station,Back Bay,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,26.0,3.44,1.0,42.3644,-71.0661,40.77,35.14, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.63,8.76,14.9,1543431600.0,10.0,42.57,1543438800.0,37.37,1543489200.0,36.55,1543438800.0,31.91,1543478400.0, cloudy ,29.17,991.33,303.0,1.0,1.0,10.0,352.4,1543405938.0,1543439719.0,0.72,0.0,1543420800.0,33.7,1543399200.0,42.57,1543438800.0,29.94,1543399200.0,36.55,1543438800.0
469,656965fe-57c0-4d07-9883-aa80faf1648e,1543230850.0,11.0,26.0,11.0,11/26/18 11:14,America/New_York,Fenway,Theatre District,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,9.5,2.66,1.0,42.3661,-71.0631,41.22,41.22, Foggy ," Rain until morning, starting again in the evening. ",0.0,0.0,0.91,2.74,2.74,1543287600.0,1.824,46.49,1543255200.0,41.9,1543298400.0,43.84,1543244400.0,36.7,1543298400.0, fog ,38.72,1015.36,19.0,1.0,0.0,1.824,298.7,1543233003.0,1543266973.0,0.64,0.1225,1543251600.0,40.45,1543233600.0,46.49,1543255200.0,37.17,1543291200.0,43.84,1543244400.0
470,a6a3175b-ea3a-4562-a2db-b7b14323cd41,1543478886.0,8.0,29.0,11.0,11/29/18 08:08,America/New_York,Theatre District,South Station,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,7.0,0.55,1.0,42.3505,-71.1054,38.61,32.4, Mostly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.68,8.99,16.24,1543514400.0,10.0,44.96,1543510800.0,28.42,1543579200.0,38.85,1543510800.0,29.07,1543579200.0, partly-cloudy-night ,28.96,1000.98,306.0,0.74,0.0,10.0,343.1,1543492412.0,1543526107.0,0.75,0.0,1543510800.0,35.2,1543550400.0,44.96,1543510800.0,31.4,1543550400.0,38.85,1543510800.0
471,682c3414-ff41-4b8a-a0a9-1f5fa32851a5,1543299504.0,6.0,27.0,11.0,11/27/18 06:18,America/New_York,Back Bay,Boston University,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,7.5,1.41,1.0,42.2148,-71.033,43.03,36.79, Light Rain , Light rain in the morning. ,0.0674,1.0,0.93,11.62,12.67,1543334400.0,2.642,47.55,1543320000.0,33.1,1543402800.0,44.12,1543320000.0,29.11,1543392000.0, rain ,41.15,996.34,65.0,1.0,0.0,2.642,286.9,1543319437.0,1543353364.0,0.68,0.1064,1543338000.0,35.36,1543377600.0,47.55,1543320000.0,31.04,1543377600.0,44.12,1543320000.0
472,9c1e9c36-3760-42ba-a5f9-e07daeb4532d,1544991012.0,20.0,16.0,12.0,12/16/18 20:10,America/New_York,Northeastern University,Back Bay,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,26.5,1.64,1.0,42.3505,-71.1054,42.85,38.1, Overcast , Rain throughout the day. ,0.0,0.0,0.73,7.92,12.7,1545015600.0,9.984,43.61,1544990400.0,34.22,1545044400.0,38.37,1544986800.0,28.61,1545044400.0, cloudy ,34.93,1014.49,67.0,0.96,0.0,9.984,322.3,1544962129.0,1544994854.0,0.3,0.1257,1544979600.0,38.48,1544954400.0,43.61,1544990400.0,34.01,1545019200.0,38.37,1544986800.0
473,7f1e7963-8126-4b52-b137-815cf2e59b8c,1543458262.0,2.0,29.0,11.0,11/29/18 02:24,America/New_York,Back Bay,Boston University,Lyft,lyft_luxsuv,Lux Black XL,32.5,1.47,1.25,42.3429,-71.1003,37.92,31.91, Mostly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.71,8.28,12.43,1543431600.0,9.981,42.7,1543438800.0,37.17,1543464000.0,36.77,1543438800.0,31.87,1543460400.0, partly-cloudy-night ,29.42,997.37,305.0,0.75,0.0,9.981,348.9,1543405943.0,1543439731.0,0.72,0.0,1543420800.0,33.6,1543399200.0,42.7,1543438800.0,30.08,1543399200.0,36.77,1543438800.0
474,9d639425-905b-4302-af19-5fd0531db51a,1544743207.0,23.0,13.0,12.0,12/13/18 23:20,America/New_York,Theatre District,Haymarket Square,Uber,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,13.0,1.61,1.0,42.3644,-71.0661,31.41,31.41, Overcast , Partly cloudy throughout the day. ,0.0,0.0,0.62,2.31,2.62,1544738400.0,10.0,33.81,1544731200.0,27.05,1544781600.0,32.82,1544734800.0,27.7,1544781600.0, cloudy ,20.07,1035.0,154.0,0.99,0.0,10.0,328.3,1544702794.0,1544735602.0,0.21,0.0001,1544716800.0,17.91,1544688000.0,33.81,1544731200.0,13.47,1544688000.0,32.82,1544734800.0
475,5aca5dcd-80b7-4ddd-b117-e2468c0597ac,1543641176.0,5.0,1.0,12.0,12/1/18 05:12,America/New_York,Boston University,Theatre District,Uber,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,19.5,2.98,1.0,42.3661,-71.0631,34.62,34.62, Mostly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.77,2.59,2.59,1543672800.0,9.937,44.72,1543690800.0,34.9,1543712400.0,44.05,1543690800.0,35.55,1543712400.0, partly-cloudy-night ,28.29,1018.67,298.0,0.83,0.0,9.937,289.6,1543665333.0,1543698853.0,0.82,0.0,1543683600.0,31.55,1543658400.0,44.72,1543690800.0,27.95,1543658400.0,44.05,1543690800.0
476,17c1f9f4-fbad-4da9-9c4a-b05eb2e5ac4c,1543407069.0,12.0,28.0,11.0,11/28/18 12:11,America/New_York,North End,West End,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,15.0,1.16,1.0,42.3588,-71.0707,36.53,32.06, Mostly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.71,5.42,6.95,1543431600.0,9.974,42.61,1543438800.0,37.64,1543485600.0,36.6,1543438800.0,32.23,1543478400.0, partly-cloudy-day ,28.14,991.36,261.0,0.54,0.0,9.974,347.5,1543405939.0,1543439721.0,0.72,0.0,1543420800.0,33.83,1543399200.0,42.61,1543438800.0,30.13,1543399200.0,36.6,1543438800.0
477,98dc3f33-32c3-462e-acc9-c9d756fd6249,1544806209.0,16.0,14.0,12.0,12/14/18 16:50,America/New_York,Back Bay,Haymarket Square,Lyft,lyft_lux,Lux Black,22.5,2.26,1.0,42.3661,-71.0631,43.0,41.26, Clear , Partly cloudy throughout the day. ,0.0,0.0,0.58,3.49,3.49,1544846400.0,9.932,46.61,1544814000.0,40.76,1544835600.0,43.85,1544817600.0,38.58,1544835600.0, clear-day ,29.04,1032.03,221.0,0.04,2.0,9.932,291.1,1544789238.0,1544822012.0,0.24,0.0,1544806800.0,27.11,1544781600.0,46.61,1544814000.0,27.76,1544781600.0,43.85,1544817600.0
478,bba712f7-df73-4834-8b5c-a53e12d0e172,1543708388.0,23.0,1.0,12.0,12/1/18 23:53,America/New_York,Haymarket Square,Financial District,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,27.5,0.99,1.0,42.3519,-71.0643,37.05,37.05, Partly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.74,2.34,2.87,1543672800.0,9.785,44.76,1543690800.0,34.83,1543712400.0,44.09,1543690800.0,35.48,1543712400.0, partly-cloudy-night ,29.65,1023.57,133.0,0.31,0.0,9.785,271.5,1543665331.0,1543698855.0,0.82,0.0,1543683600.0,31.42,1543658400.0,44.76,1543690800.0,27.77,1543658400.0,44.09,1543690800.0
479,9137b77a-6ebd-4b68-8e3b-e4cac197d97d,1543544278.0,2.0,30.0,11.0,11/30/18 02:17,America/New_York,Theatre District,South Station,Lyft,lyft_premier,Lux,10.5,0.62,1.0,42.3661,-71.0631,37.11,31.86, Clear , Partly cloudy throughout the day. ,0.0,0.0,0.67,6.68,8.53,1543514400.0,9.969,44.66,1543510800.0,28.68,1543575600.0,38.3,1543510800.0,27.26,1543568400.0, clear-night ,27.27,1011.84,318.0,0.03,0.0,9.969,296.9,1543492404.0,1543526094.0,0.75,0.0,1543510800.0,35.15,1543550400.0,44.66,1543510800.0,30.98,1543550400.0,38.3,1543510800.0
480,4613eed2-3b9d-4f41-a525-9a65f50c947b,1543220522.0,8.0,26.0,11.0,11/26/18 08:22,America/New_York,Back Bay,South Station,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,13.0,3.45,1.0,42.2148,-71.033,41.59,41.59, Overcast ," Rain until morning, starting again in the evening. ",0.0,0.0,0.93,1.85,2.03,1543291200.0,5.138,47.3,1543251600.0,42.1,1543298400.0,43.92,1543251600.0,36.2,1543291200.0, cloudy ,39.64,1014.18,88.0,1.0,0.0,5.138,301.9,1543232969.0,1543266992.0,0.64,0.13,1543251600.0,40.49,1543233600.0,47.3,1543251600.0,36.2,1543291200.0,43.92,1543251600.0
481,d438aebd-7306-4d9c-9c83-d1f3cf991181,1544739915.0,22.0,13.0,12.0,12/13/18 22:25,America/New_York,Fenway,Beacon Hill,Uber,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,16.0,2.46,1.0,42.3644,-71.0661,31.98,31.98, Mostly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.61,1.98,3.86,1544738400.0,10.0,33.81,1544731200.0,27.05,1544781600.0,32.82,1544734800.0,27.7,1544781600.0, partly-cloudy-night ,19.94,1034.76,161.0,0.71,0.0,10.0,328.5,1544702794.0,1544735602.0,0.21,0.0001,1544716800.0,17.91,1544688000.0,33.81,1544731200.0,13.47,1544688000.0,32.82,1544734800.0
484,cfa0afd3-d440-4fdf-bc34-b98b4db9c3b7,1544698807.0,11.0,13.0,12.0,12/13/18 11:00,America/New_York,Fenway,Beacon Hill,Lyft,lyft_line,Shared,10.5,2.37,1.0,42.3559,-71.055,20.42,15.44, Partly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.64,3.48,3.48,1544738400.0,9.917,33.96,1544731200.0,27.21,1544781600.0,32.95,1544734800.0,24.55,1544785200.0, partly-cloudy-night ,10.29,1032.12,349.0,0.37,0.0,9.917,328.9,1544702790.0,1544735601.0,0.21,0.0001,1544716800.0,18.24,1544688000.0,33.96,1544731200.0,13.72,1544688000.0,32.95,1544734800.0
485,9115e4c1-0d47-460b-9eac-c25557121f1e,1543503176.0,14.0,29.0,11.0,11/29/18 14:52,America/New_York,North Station,Haymarket Square,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,27.5,0.35,1.0,42.3505,-71.1054,41.39,36.08, Partly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.58,8.41,15.95,1543514400.0,9.994,44.96,1543510800.0,28.42,1543579200.0,38.85,1543510800.0,29.07,1543579200.0, partly-cloudy-day ,27.59,1006.23,314.0,0.22,1.0,9.994,331.8,1543492412.0,1543526107.0,0.75,0.0,1543510800.0,35.2,1543550400.0,44.96,1543510800.0,31.4,1543550400.0,38.85,1543510800.0
486,8beddef0-9a35-4695-be19-e72de26c619d,1543627383.0,1.0,1.0,12.0,12/1/18 01:23,America/New_York,Financial District,North End,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,27.5,1.21,1.0,42.3505,-71.1054,37.75,35.66, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.66,3.13,3.59,1543597200.0,9.738,42.05,1543600800.0,31.31,1543662000.0,41.38,1543600800.0,28.1,1543662000.0, cloudy ,27.49,1017.81,305.0,1.0,0.0,9.738,289.9,1543578877.0,1543612485.0,0.79,0.0004,1543593600.0,28.42,1543579200.0,42.05,1543600800.0,29.07,1543579200.0,41.38,1543600800.0
487,2d215f5c-f756-4db4-b540-4c7f2a4d597d,1544772008.0,7.0,14.0,12.0,12/14/18 07:20,America/New_York,North End,Financial District,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,7.5,1.04,1.0,42.3519,-71.0551,29.22,29.22, Overcast , Partly cloudy throughout the day. ,0.0,0.0,0.74,1.03,2.33,1544846400.0,9.706,46.65,1544814000.0,40.76,1544835600.0,43.86,1544817600.0,38.56,1544835600.0, cloudy ,22.12,1035.42,206.0,1.0,0.0,9.706,298.1,1544789234.0,1544822013.0,0.24,0.0,1544806800.0,27.18,1544781600.0,46.65,1544814000.0,24.51,1544785200.0,43.86,1544817600.0
